Number,Name,Link,Image Address,Color,Finish
297,Pink Bliss,https://www.dndgel.com/products/pink-bliss-297?_pos=1&_psq=Pink+Bliss&_ss=e&_v=1.0,https://www.dndgel.com/cdn/shop/files/DC-297-SWATCH.webp?v=1764964798&width=1346,"Pink, Neutral",Cream
431,Raspberry,https://www.dndgel.com/products/raspberry-431?_pos=1&_psq=Raspberry&_ss=e&_v=1.0,https://www.dndgel.com/cdn/shop/products/431-ras_dbe89f7a-a1c9-4a42-9c50-72fc5eccab1f.jpg?v=1759443552&width=1346,"Red, Pink",Cream
302,Blush Village,https://www.dndgel.com/products/blush-village-302?_pos=1&_psq=Blush+Village&_ss=e&_v=1.0,https://www.dndgel.com/cdn/shop/files/DC-302-SWATCH.webp?v=1764964853&width=1346,Pink,Cream
301,Half Moon,https://www.dndgel.com/products/half-moon-301?_pos=1&_psq=Half+Moon&_ss=e&_v=1.0,https://www.dndgel.com/cdn/shop/products/301-Half-Moon.jpg?v=1755194798&width=1346,Neutral,Cream
305,Bon Appetit,https://www.dndgel.com/products/bon-appetit-305?_pos=1&_psq=Bon+Appetit&_ss=e&_v=1.0,https://www.dndgel.com/cdn/shop/files/DC-305-SWATCH.png?v=1755194803&width=1346,"Neutral, Orange",Cream
304,Ice Cream Sundae,https://www.dndgel.com/products/ice-cream-sundae-304?_pos=1&_psq=Ice+Cream+Sundae&_ss=e&_v=1.0,https://www.dndgel.com/cdn/shop/files/DC-304-SWATCH.jpg?v=1755194802&width=1346,"Pink, Orange",Cream
303,Essential,https://www.dndgel.com/products/essential-303?_pos=1&_psq=Essential&_ss=e&_v=1.0,https://www.dndgel.com/cdn/shop/products/Essential-DC-303-copy.jpg?v=1755194801&width=1346,Neutral,Cream
308,Nostalgia,https://www.dndgel.com/products/nostalgia-308?_pos=1&_psq=Nostalgia&_ss=e&_v=1.0,https://www.dndgel.com/cdn/shop/products/DC308dot.jpg?v=1762198269&width=1346,"Brown, Neutral",Cream
307,Cinnamon Craze,https://www.dndgel.com/products/cinnamon-craze-307?_pos=4&_sid=18e76da02&_ss=r,https://www.dndgel.com/cdn/shop/products/cinnamon-craze-dc-307.jpg?v=1755194806&width=1346,"Brown, Neutral",Cream
306,Bittersweet,https://www.dndgel.com/products/bittersweet-306?_pos=1&_psq=BitterSweet&_ss=e&_v=1.0,https://www.dndgel.com/cdn/shop/products/dnd-bittersweet-dc-306.jpg?v=1755194805&width=1346,"Neutral, Orange",Cream
311,Natural,https://www.dndgel.com/products/natural-311?_pos=1&_psq=Natural&_ss=e&_v=1.0,https://www.dndgel.com/cdn/shop/files/DC-311-SWATCH.webp?v=1764964882&width=1346,"Neutral, Brown",Cream
310,Confetti,https://www.dndgel.com/products/confetti-310?_pos=1&_psq=Confetti&_ss=e&_v=1.0,https://www.dndgel.com/cdn/shop/products/confetti-dnd-gel-dc-310.jpg?v=1755194810&width=1346,"Brown, Neutral",Cream
309,Kamikaze,https://www.dndgel.com/products/kamikaze-309?_pos=1&_psq=Kamikaze&_ss=e&_v=1.0,https://www.dndgel.com/cdn/shop/products/kamikaze-dnd-gel-dc-309.jpg?v=1755194809&width=1346,"Pink, Orange",Cream
314,Dusk Till Dawn,https://www.dndgel.com/products/dusk-till-dawn-314?_pos=1&_psq=Dusk+Till+Dawn&_ss=e&_v=1.0,https://www.dndgel.com/cdn/shop/products/DC314dot.jpg?v=1762198265&width=1346,"Grey, Brown",Cream
147,Pink Powder,https://www.dndgel.com/products/pink-powder-147?_pos=1&_psq=Pink+Powder&_ss=e&_v=1.0,https://www.dndgel.com/cdn/shop/products/pinj-powder-147.jpg?v=1755194593&width=1346,Pink,Sheer
149,Silky Peach,https://www.dndgel.com/products/silky-peach-149?_pos=1&_psq=Silky+Peach&_ss=e&_v=1.0,https://www.dndgel.com/cdn/shop/products/149-2.jpg?v=1755194595&width=1346,"Neutral, Pink",Sheer
38,Mahogany,https://www.dndgel.com/products/mahogany-038?_pos=1&_psq=Mahogany&_ss=e&_v=1.0,https://www.dndgel.com/cdn/shop/products/dc_swatch_038.jpg?v=1762198940&width=1346,"Red, Pink",Cream
65,Thai Chili,https://www.dndgel.com/products/thai-chilli-red-065?_pos=1&_psq=Thai+Chili&_ss=e&_v=1.0,https://www.dndgel.com/cdn/shop/files/dnd_thai_chili_red_065.jpg?v=1755193599&width=1346,Red,Cream
64,Valentine Red,https://www.dndgel.com/products/valentine-red-064?_pos=1&_psq=Valentine+Red&_ss=e&_v=1.0,https://www.dndgel.com/cdn/shop/products/dc_swatch_064.jpg?v=1762198923&width=1346,Red,Cream
59,Sheer Pink,https://www.dndgel.com/products/sheer-pink-059?_pos=1&_psq=Sheer+Pink&_ss=e&_v=1.0,https://www.dndgel.com/cdn/shop/files/DC-059-SWATCH.webp?v=1773947628&width=1346,Pink,Sheer
99,Bayberry,https://www.dndgel.com/products/bayberry-099?_pos=1&_psq=Bayberry&_ss=e&_v=1.0,https://www.dndgel.com/cdn/shop/files/DC-099-DOT.png?v=1762198900&width=1346,"Blue, Grey",Cream
170,Plum Frost,https://www.dndgel.com/products/plum-frost-170?_pos=1&_psq=Plum+Frost&_ss=e&_v=1.0,https://www.dndgel.com/cdn/shop/files/DC-170-SWATCH.jpg?v=1755194614&width=1346,Neutral,Sheer
73,Dusty Coral,https://www.dndgel.com/products/dusty-coral-073?_pos=1&_psq=Dusty+Coral&_ss=e&_v=1.0,https://www.dndgel.com/cdn/shop/files/DC-073-SWATCH.png?v=1755193608&width=1346,"Purple, Brown",Cream
155,Chateau Rose,https://www.dndgel.com/products/chateau-rose-155?_pos=1&_psq=Chateau+Rose&_ss=e&_v=1.0,https://www.dndgel.com/cdn/shop/products/155.jpg?v=1762198413&width=1346,Pink,Sheer
146,Icy Pink,https://www.dndgel.com/products/icy-pink-146?_pos=1&_psq=Icy+Pink&_ss=e&_v=1.0,https://www.dndgel.com/cdn/shop/products/icy-pink-dnd-gel-polish-pink-nails_78231820-4a59-4562-b0e2-5c6768b9d445.jpg?v=1755194592&width=1346,Pink,Sheer
167,Utah Vale,https://www.dndgel.com/products/utah-vale-167?_pos=1&_psq=Utah+Vale&_ss=e&_v=1.0,https://www.dndgel.com/cdn/shop/products/Utah-Vale-DC-167.jpg?v=1755194611&width=1346,"Neutral, Pink",Sheer
161,White Fur,https://www.dndgel.com/products/white-fur-161?_pos=1&_psq=White+Fur&_ss=e&_v=1.0,https://www.dndgel.com/cdn/shop/products/white-fur-dnd-gel-161-white-milky-sheer-nail-polisj_55aa31d2-dbca-419e-abcb-e98604dee073.jpg?v=1756513784&width=1346,White,Cream
168,Andorra,https://www.dndgel.com/products/andorra-168?_pos=1&_psq=Andorra&_ss=e&_v=1.0,https://www.dndgel.com/cdn/shop/products/andorra-168-scaled.jpg?v=1755194612&width=1346,Neutral,Sheer
291,Marshmallow Cloud,https://www.dndgel.com/products/marshmallow-cloud-291?_pos=1&_psq=Marshmallow+Cloud&_ss=e&_v=1.0,https://www.dndgel.com/cdn/shop/files/DC-291-SWATCH.png?v=1755194787&width=1346,"Neutral, White",Cream
292,Hopscotch,https://www.dndgel.com/products/hopscotch-292?_pos=1&_psq=Hopscotch&_ss=e&_v=1.0,https://www.dndgel.com/cdn/shop/files/DC-292-SWATCH.png?v=1755194788&width=1346,"Yellow, Neutral, Orange",Cream
290,U Shine I Shine,https://www.dndgel.com/products/u-shine-i-shine-290?_pos=1&_psq=U+Shine+I+Shine&_ss=e&_v=1.0,https://www.dndgel.com/cdn/shop/products/RS-u-shine-i-shine-dc-290.jpg?v=1755194836&width=1346,Yellow,Cream
295,Milky Way,https://www.dndgel.com/products/milky-way-295?_pos=1&_psq=Milky+Way&_ss=e&_v=1.0,https://www.dndgel.com/cdn/shop/products/DC295dot.jpg?v=1762198277&width=1346,Pink,Cream
294,Sand Dance,https://www.dndgel.com/products/sand-dance-294?_pos=1&_psq=Sand+Dance&_ss=e&_v=1.0,https://www.dndgel.com/cdn/shop/products/sand-dance-dnd-gel-dc-294.jpg?v=1755194790&width=1346,Neutral,Cream
